Team,Matches Played,Points,Wins,Losses,Draws,Goal For,Goal Against,Goal Difference
Man City,38,100,32,2,4,106,27,79
Man United,38,81,25,7,6,68,28,40
Tottenham,38,77,23,7,8,74,36,38
Liverpool,38,75,21,5,12,84,38,46
Chelsea,38,70,21,10,7,62,38,24
Arsenal,38,63,19,13,6,74,51,23
Burnley,38,54,14,12,12,36,39,-3
Everton,38,49,13,15,10,44,58,-14
Leicester,38,47,12,15,11,56,60,-4
Crystal Palace,38,44,11,16,11,45,55,-10
Bournemouth,38,44,11,16,11,45,61,-16
Newcastle,38,44,12,18,8,39,47,-8
West Ham,38,42,10,16,12,48,68,-20
Watford,38,41,11,19,8,44,64,-20
Brighton,38,40,9,16,13,34,54,-20
Huddersfield,38,37,9,19,10,28,58,-30
Southampton,38,36,7,16,15,37,56,-19
Stoke,38,33,7,19,12,35,68,-33
Swansea,38,33,8,21,9,28,56,-28
West Brom,38,31,6,19,13,31,56,-25
